,Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Passengers
0,177MF LLC,PITTSMODEL12,0.0,2.0,0.0,0.0,2.0
1,2007 SAVAGE AIR LLC,EPICLT,0.0,0.0,0.0,4.0,4.0
2,2021FX3 LLC,CCX-2000,0.0,0.0,0.0,4.0,4.0
3,3XTRIM,450ULTRA,1.0,0.0,1.0,0.0,2.0
4,5 RIVERS LLC,SQ-2,0.0,0.0,1.0,1.0,2.0
5,737,800,0.0,0.0,0.0,329.0,329.0
7,781569 INC,FX210,0.0,3.0,0.0,0.0,3.0
8,AAA AIRCRAFT LLC,CCX-2000,0.0,0.0,0.0,2.0,2.0
9,AARDEMA ROBERT JOHN,1AARDEMARAGWNGSP,0.0,0.0,0.0,1.0,1.0
10,AB SPORTINE AVIACIJA,GENESIS2,0.0,0.0,0.0,1.0,1.0
11,ABBETT GERRY,LANCAIREVOLUTION,0.0,2.0,0.0,0.0,2.0
12,ABBEY VICTOR,RV9-A,0.0,1.0,0.0,0.0,1.0
13,AC MFG & DEV'T CO,CH2000,0.0,0.0,0.0,1.0,1.0
14,ACKERT,DAKOTAHAWKDH23,0.0,0.0,0.0,1.0,1.0
15,ACKLAND JEFFREY DEAN,SH3R,0.0,0.0,0.0,2.0,2.0
16,ACRO,SUPERACROSPORTI,0.0,0.0,1.0,0.0,1.0
17,ACRO SPORT,ACRODUSTERIISA750,0.0,0.0,0.0,1.0,1.0
18,ACRO SPORT,II,0.0,0.0,0.0,1.0,1.0
19,ACRODUSTER,II,1.0,0.0,0.0,0.0,1.0
20,ADAMS,DRAGONFLY,0.0,0.0,0.0,1.0,1.0
21,ADAMS DENNIS ALLEN,VARIEZE,0.0,1.0,1.0,0.0,2.0
22,ADAMS DONALD L,DA1,1.0,0.0,0.0,0.0,1.0
23,ADAMS JOHN R JR,PIELDIAMANT,0.0,0.0,0.0,1.0,1.0
24,ADKINS,RIDGERUNNERII,0.0,0.0,1.0,1.0,2.0
25,ADOLPHSON,CCK-1865,0.0,0.0,0.0,2.0,2.0
26,ADRIAN GEORGE W,EUROPACLASSIC,0.0,0.0,0.0,1.0,1.0
27,ADVERTISING MGMT & CONSULTING,VELOCITYSUPERXLRG5,2.0,0.0,3.0,0.0,5.0
28,AERMACCHI,BOSBOKAM3-C,0.0,0.0,0.0,2.0,2.0
29,AERMACCHI,IMPALAMB-326M,0.0,1.0,1.0,0.0,2.0
30,AERO ADVENTURE,AVENTURAUL,0.0,0.0,1.0,0.0,1.0
31,AERO ADVENTURE,ZEPHYRII,1.0,0.0,0.0,0.0,1.0
32,AERO AT SP ZOO,AT-4LSA,0.0,0.0,1.0,0.0,1.0
33,AERO BRISTELL,BRISTELLLSA,0.0,2.0,0.0,0.0,2.0
34,AERO COMMANDER,100,2.0,5.0,5.0,15.0,27.0
35,AERO COMMANDER,100-180,0.0,1.0,0.0,6.0,7.0
36,AERO COMMANDER,100180,0.0,0.0,0.0,1.0,1.0
37,AERO COMMANDER,112,0.0,0.0,0.0,6.0,6.0
38,AERO COMMANDER,112A,0.0,2.0,0.0,0.0,2.0
39,AERO COMMANDER,112TC,0.0,0.0,0.0,2.0,2.0
40,AERO COMMANDER,114B,3.0,0.0,0.0,0.0,3.0
41,AERO COMMANDER,200,2.0,0.0,0.0,0.0,2.0
42,AERO COMMANDER,200D,0.0,2.0,1.0,2.0,5.0
43,AERO COMMANDER,500,7.0,4.0,0.0,10.0,21.0
44,AERO COMMANDER,500-B,2.0,2.0,0.0,8.0,12.0
45,AERO COMMANDER,500A,1.0,0.0,0.0,0.0,1.0
46,AERO COMMANDER,500B,2.0,2.0,0.0,2.0,6.0
47,AERO COMMANDER,500S,12.0,0.0,2.0,8.0,22.0
48,AERO COMMANDER,520,3.0,0.0,0.0,0.0,3.0
49,AERO COMMANDER,560,0.0,0.0,0.0,1.0,1.0
50,AERO COMMANDER,560-F,1.0,0.0,0.0,0.0,1.0
51,AERO COMMANDER,560E,3.0,0.0,0.0,2.0,5.0
52,AERO COMMANDER,680,0.0,0.0,0.0,2.0,2.0
53,AERO COMMANDER,680-F,0.0,0.0,0.0,2.0,2.0
54,AERO COMMANDER,680E,0.0,4.0,1.0,0.0,5.0
55,AERO COMMANDER,680F,0.0,0.0,0.0,3.0,3.0
56,AERO COMMANDER,680FL,1.0,0.0,0.0,1.0,2.0
57,AERO COMMANDER,680W,0.0,2.0,0.0,0.0,2.0
58,AERO COMMANDER,681,0.0,0.0,0.0,3.0,3.0
59,AERO COMMANDER,685,0.0,0.0,3.0,0.0,3.0
60,AERO COMMANDER,690,1.0,0.0,1.0,2.0,4.0
61,AERO COMMANDER,690A,0.0,1.0,0.0,5.0,6.0
62,AERO COMMANDER,695,0.0,0.0,0.0,2.0,2.0
63,AERO COMMANDER,840,7.0,0.0,0.0,0.0,7.0
64,AERO COMMANDER,AC50,0.0,0.0,0.0,1.0,1.0
65,AERO COMMANDER,B1A,1.0,0.0,0.0,0.0,1.0
66,AERO COMMANDER,CALLAIR,1.0,0.0,0.0,0.0,1.0
67,AERO COMMANDER,CALLAIRA-9B,1.0,1.0,0.0,0.0,2.0
68,AERO COMMANDER,CALLAIRA9,0.0,1.0,0.0,1.0,2.0
69,AERO COMMANDER,CALLAIRA9B,0.0,0.0,1.0,0.0,1.0
70,AERO COMMANDER,S2R,4.0,1.0,4.0,11.0,20.0
71,AERO DESIGNS,PULSAR,0.0,0.0,0.0,2.0,2.0
72,AERO SMART SOLUTIONS INC,LANCAIREVOLUTION,0.0,1.0,0.0,1.0,2.0
73,AERO SP Z O O,AT-4LSA,1.0,0.0,0.0,2.0,3.0
74,AERO SP Z O O,AT4LSA,0.0,1.0,0.0,1.0,2.0
75,AERO SP Z O O (GOBOSH),AT-4LSA,0.0,0.0,0.0,1.0,1.0
76,AERO VODOCHODY,L-29,2.0,0.0,0.0,0.0,2.0
77,AERO VODOCHODY,L-39,2.0,0.0,0.0,0.0,2.0
78,AERO VODOCHODY,L39,1.0,0.0,0.0,5.0,6.0
79,AERO VODOCHODY,L39C,5.0,0.0,1.0,2.0,8.0
80,AERO VODOCHODY AERO. WORKS,L-29DELFIN,2.0,0.0,0.0,0.0,2.0
81,AERO VODOCHODY AERO. WORKS,L-39C,1.0,0.0,0.0,0.0,1.0
82,AERO-ACE,CE1,0.0,1.0,0.0,0.0,1.0
83,AEROFAB,LAKELA-250,1.0,0.0,1.0,0.0,2.0
84,AEROFAB INC,LAKELA250,3.0,0.0,0.0,0.0,3.0
85,AEROFAB INC,LAKELA4250,2.0,1.0,0.0,0.0,3.0
86,AEROFAB INC.,LAKELA-4-250,1.0,0.0,0.0,0.0,1.0
87,AEROMOT,AMT200,0.0,0.0,0.0,1.0,1.0
88,AERONCA,0-58A,0.0,0.0,0.0,1.0,1.0
89,AERONCA,0-58B,0.0,1.0,0.0,2.0,3.0
90,AERONCA,11AC,7.0,10.0,8.0,32.0,57.0
91,AERONCA,11BC,0.0,0.0,2.0,1.0,3.0
92,AERONCA,11CC,2.0,0.0,0.0,6.0,8.0
93,AERONCA,15AC,1.0,0.0,1.0,11.0,13.0
94,AERONCA,58B,0.0,0.0,2.0,0.0,2.0
95,AERONCA,65-TAC,0.0,0.0,0.0,4.0,4.0
96,AERONCA,65-TC,0.0,0.0,0.0,2.0,2.0
97,AERONCA,65-TF,1.0,1.0,0.0,0.0,2.0
98,AERONCA,65C,0.0,0.0,0.0,4.0,4.0
99,AERONCA,65CA,1.0,2.0,2.0,2.0,7.0
100,AERONCA,65LB,0.0,0.0,0.0,1.0,1.0
101,AERONCA,7AC,21.0,27.0,19.0,84.0,151.0
102,AERONCA,7AC-CONV,0.0,0.0,0.0,1.0,1.0
103,AERONCA,7BC,0.0,0.0,0.0,1.0,1.0
104,AERONCA,7BCM,1.0,5.0,3.0,10.0,19.0
105,AERONCA,7BCM(L-16A),2.0,0.0,0.0,0.0,2.0
106,AERONCA,7CCM,0.0,3.0,2.0,11.0,16.0
107,AERONCA,7DC,0.0,0.0,0.0,9.0,9.0
108,AERONCA,7DC-CONV,0.0,0.0,0.0,1.0,1.0
109,AERONCA,7EC,2.0,0.0,1.0,12.0,15.0
110,AERONCA,7GC,0.0,0.0,1.0,1.0,2.0
111,AERONCA,7JC,0.0,0.0,0.0,1.0,1.0
112,AERONCA,AR-58,0.0,1.0,1.0,0.0,2.0
113,AERONCA,C-3,0.0,1.0,1.0,0.0,2.0
114,AERONCA,C3,0.0,2.0,0.0,0.0,2.0
115,AERONCA,CHAMPION,0.0,0.0,0.0,2.0,2.0
116,AERONCA,CHAMPION7GCBC,0.0,0.0,0.0,1.0,1.0
117,AERONCA,L16A,0.0,0.0,0.0,1.0,1.0
118,AERONCA,L3B,0.0,0.0,0.0,2.0,2.0
119,AERONCA,O-58B,0.0,0.0,1.0,2.0,3.0
120,AERONCA,O-58C,1.0,1.0,0.0,0.0,2.0
121,AERONCA,O58B,0.0,1.0,1.0,0.0,2.0
122,AERONCA,S11AC,0.0,0.0,1.0,0.0,1.0
123,AERONCA,S15AC,0.0,0.0,0.0,2.0,2.0
124,AERONCA,S7EC,0.0,0.0,0.0,2.0,2.0
125,AERONCA AIRCRAFT CORPORATION,7AC,0.0,0.0,0.0,1.0,1.0
126,AERONCA CHAMP,7EC,0.0,0.0,0.0,2.0,2.0
127,AERONCA CHAMPION,7AC,0.0,0.0,0.0,1.0,1.0
128,AEROPRAKT,22L2,2.0,0.0,0.0,0.0,2.0
129,AEROPRAKT,A-22,0.0,0.0,0.0,1.0,1.0
130,AEROPRAKT,A-22VALOR,0.0,0.0,0.0,1.0,1.0
131,AEROPRAKT,A20VISTACRUISER,0.0,0.0,0.0,1.0,1.0
132,AEROPRAKT MANUFACTURING SP ZOO,A22LS,0.0,1.0,0.0,0.0,1.0
133,AEROPRO CZ,A220,1.0,0.0,0.0,5.0,6.0
134,AEROPRO CZ,A240,1.0,0.0,0.0,2.0,3.0
135,AEROPRO CZ,EUROFOX,0.0,2.0,0.0,2.0,4.0
136,AEROPRO CZ,EUROFOXLSA,0.0,1.0,0.0,5.0,6.0
137,AEROPRO CZ S R O,A220,0.0,0.0,0.0,1.0,1.0
138,AEROPRO CZ S R O,A240,1.0,0.0,0.0,2.0,3.0
139,AEROS,VENTURE,0.0,0.0,0.0,2.0,2.0
140,AEROS LTD,AEROS2,0.0,0.0,2.0,0.0,2.0
141,AEROS LTD,SKYRANGER,0.0,0.0,0.0,1.0,1.0
142,AEROS LTD/SKYRANGER AIRCRAFT,SKYRANGERII,0.0,0.0,2.0,0.0,2.0
143,AEROSPATIALE,ATR-42-300,0.0,1.0,0.0,40.0,41.0
145,AEROSPATIALE ALENIA,ATR42-320,0.0,1.0,1.0,0.0,2.0
146,AEROSPOOL,DYNAMICWT-9,1.0,0.0,0.0,0.0,1.0
147,AEROSPORT,CHAMP,0.0,0.0,0.0,1.0,1.0
148,AEROSPORT LTD,IKARUSC42E,0.0,0.0,0.0,2.0,2.0
149,AEROSTAR,602P,4.0,0.0,0.0,0.0,4.0
150,AEROSTAR ACFT CORP OF TEXAS,M20E,0.0,1.0,2.0,0.0,3.0
151,AEROSTAR ACFT CORP OF TEXAS,M20F,0.0,0.0,4.0,0.0,4.0
152,AEROSTAR AIRCRAFT CORPORATION,PA-60-601P,1.0,0.0,0.0,1.0,2.0
153,AEROSTAR S A,YAK-52,3.0,0.0,0.0,0.0,3.0
154,AEROSTAR S A,YAK52,2.0,0.0,0.0,0.0,2.0
155,"AEROSTAR, S.A",YAK-52TW,0.0,0.0,2.0,0.0,2.0
156,AEROTECHNIK,L13SEHVIVAT,0.0,0.0,0.0,1.0,1.0
157,AEROTECHNIK,SPORTSTAR-EVEKTOR,0.0,0.0,2.0,0.0,2.0
158,AEROTEK,PITTSS-1T,0.0,0.0,0.0,1.0,1.0
159,AEROTEK,PITTSS-2A,1.0,0.0,1.0,2.0,4.0
160,AEROTEK,PITTSS1T,0.0,0.0,0.0,1.0,1.0
161,AEROTEK,PITTSS2A,2.0,0.0,0.0,0.0,2.0
162,AEROTEK,PITTSSPEC,0.0,0.0,0.0,1.0,1.0
163,AEROTEK,PITTSSPECIAL,0.0,0.0,0.0,1.0,1.0
164,AEROTEK,PITTSSPECIALS-1S,0.0,0.0,1.0,5.0,6.0
165,AEROTEK INC,PITTSS-2B,0.0,0.0,0.0,3.0,3.0
166,AEROTEK-PITTS,S-2A,0.0,0.0,0.0,1.0,1.0
167,AEROTREK,A220,0.0,0.0,0.0,1.0,1.0
168,AEROVODOCHODY,L-29DELFIN,3.0,0.0,0.0,1.0,4.0
169,AEROVODOCHODY,L29DELFIN,0.0,2.0,0.0,0.0,2.0
171,AG-CAT CORPORATION,G164,0.0,0.0,0.0,1.0,1.0
172,AGETON,MXLSPORTII,0.0,1.0,0.0,0.0,1.0
173,AGIN JEFFREY T,RV-4,0.0,0.0,1.0,0.0,1.0
174,AHRENS GERD H,RV6,1.0,0.0,0.0,0.0,1.0
175,AIR CREATION,CLIPPER,2.0,0.0,0.0,0.0,2.0
176,AIR CREATION,CLIPPER582S,0.0,1.0,0.0,0.0,1.0
177,AIR CREATION,CLIPPER912,0.0,0.0,0.0,2.0,2.0
178,AIR CREATION,GTE,0.0,0.0,1.0,0.0,1.0
179,AIR GULFSTREAM AIRLINES INC,SX-300,0.0,0.0,0.0,1.0,1.0
180,AIR TRACTOR,301,2.0,1.0,0.0,4.0,7.0
181,AIR TRACTOR,301A,0.0,0.0,1.0,0.0,1.0
182,AIR TRACTOR,401-0860,0.0,0.0,0.0,1.0,1.0
183,AIR TRACTOR,401B,0.0,1.0,0.0,0.0,1.0
184,AIR TRACTOR,402A,0.0,0.0,0.0,1.0,1.0
185,AIR TRACTOR,402B,0.0,0.0,0.0,1.0,1.0
186,AIR TRACTOR,502A,0.0,0.0,0.0,1.0,1.0
187,AIR TRACTOR,502B,1.0,0.0,0.0,1.0,2.0
188,AIR TRACTOR,AT-301,0.0,3.0,3.0,12.0,18.0
189,AIR TRACTOR,AT-301A,0.0,0.0,0.0,3.0,3.0
190,AIR TRACTOR,AT-301B,0.0,1.0,0.0,0.0,1.0
191,AIR TRACTOR,AT-400,3.0,0.0,0.0,5.0,8.0
192,AIR TRACTOR,AT-400A,0.0,0.0,0.0,2.0,2.0
193,AIR TRACTOR,AT-401,0.0,3.0,0.0,4.0,7.0
194,AIR TRACTOR,AT-402,0.0,0.0,1.0,4.0,5.0
195,AIR TRACTOR,AT-402A,0.0,0.0,2.0,2.0,4.0
196,AIR TRACTOR,AT-402B,0.0,1.0,0.0,3.0,4.0
197,AIR TRACTOR,AT-502,1.0,1.0,2.0,6.0,10.0
198,AIR TRACTOR,AT-502B,2.0,0.0,0.0,11.0,13.0
199,AIR TRACTOR,AT-504,0.0,0.0,0.0,2.0,2.0
200,AIR TRACTOR,AT-602,2.0,1.0,3.0,7.0,13.0
201,AIR TRACTOR,AT-802,0.0,0.0,0.0,1.0,1.0
202,AIR TRACTOR,AT-802A,3.0,2.0,0.0,4.0,9.0
203,AIR TRACTOR,AT-802F,1.0,0.0,0.0,0.0,1.0
204,AIR TRACTOR,AT301,2.0,1.0,0.0,5.0,8.0
205,AIR TRACTOR,AT400,1.0,0.0,1.0,0.0,2.0
206,AIR TRACTOR,AT400A,0.0,0.0,0.0,1.0,1.0
207,AIR TRACTOR,AT401,0.0,1.0,1.0,2.0,4.0
208,AIR TRACTOR,AT402,3.0,0.0,1.0,5.0,9.0
209,AIR TRACTOR,AT502,18.0,8.0,2.0,16.0,44.0
210,AIR TRACTOR,AT503,0.0,1.0,0.0,0.0,1.0
211,AIR TRACTOR,AT602,2.0,1.0,1.0,16.0,20.0
212,AIR TRACTOR,AT802,10.0,2.0,4.0,7.0,23.0
213,AIR TRACTOR,AT802-A,1.0,0.0,0.0,0.0,1.0
215,AIR TRACTOR INC,AT,0.0,0.0,0.0,1.0,1.0
216,AIR TRACTOR INC,AT-301,2.0,6.0,0.0,19.0,27.0
217,AIR TRACTOR INC,AT-301A,0.0,1.0,0.0,1.0,2.0
218,AIR TRACTOR INC,AT-302,0.0,0.0,0.0,1.0,1.0
219,AIR TRACTOR INC,AT-400,0.0,0.0,0.0,2.0,2.0
220,AIR TRACTOR INC,AT-400A,0.0,1.0,0.0,1.0,2.0
221,AIR TRACTOR INC,AT-401,0.0,1.0,1.0,5.0,7.0
222,AIR TRACTOR INC,AT-401B,0.0,0.0,0.0,1.0,1.0
223,AIR TRACTOR INC,AT-402,0.0,0.0,0.0,1.0,1.0
224,AIR TRACTOR INC,AT-402A,0.0,0.0,1.0,1.0,2.0
225,AIR TRACTOR INC,AT-402B,2.0,0.0,0.0,4.0,6.0
226,AIR TRACTOR INC,AT-502,1.0,4.0,1.0,8.0,14.0
227,AIR TRACTOR INC,AT-502A,2.0,0.0,0.0,0.0,2.0
228,AIR TRACTOR INC,AT-502B,2.0,3.0,3.0,19.0,27.0
229,AIR TRACTOR INC,AT-602,7.0,6.0,1.0,13.0,27.0
230,AIR TRACTOR INC,AT-802,2.0,0.0,0.0,2.0,4.0
231,AIR TRACTOR INC,AT-802A,7.0,1.0,6.0,3.0,17.0
232,AIR TRACTOR INC,AT301,0.0,0.0,0.0,6.0,6.0
233,AIR TRACTOR INC,AT400,0.0,0.0,1.0,0.0,1.0
234,AIR TRACTOR INC,AT401,0.0,0.0,0.0,4.0,4.0
235,AIR TRACTOR INC,AT401B,1.0,0.0,1.0,0.0,2.0
236,AIR TRACTOR INC,AT402,1.0,0.0,0.0,2.0,3.0
237,AIR TRACTOR INC,AT402A,0.0,2.0,0.0,1.0,3.0
238,AIR TRACTOR INC,AT402B,0.0,2.0,0.0,3.0,5.0
239,AIR TRACTOR INC,AT502,2.0,3.0,0.0,8.0,13.0
240,AIR TRACTOR INC,AT502B,5.0,3.0,3.0,9.0,20.0
241,AIR TRACTOR INC,AT602,6.0,0.0,1.0,5.0,12.0
242,AIR TRACTOR INC,AT802,0.0,2.0,1.0,7.0,10.0
243,AIR TRACTOR INC,AT802A,0.0,0.0,0.0,3.0,3.0
244,AIR TRACTOR INC.,AT-301,0.0,0.0,0.0,2.0,2.0
245,AIR TRACTOR INC.,AT-502,0.0,1.0,0.0,1.0,2.0
246,AIR TRACTOR INC.,AT-802,1.0,0.0,1.0,0.0,2.0
247,AIR TRACTOR INC.,AT-802A,1.0,0.0,1.0,0.0,2.0
248,"AIR TRACTOR, INC.",AT-400,0.0,0.0,1.0,0.0,1.0
249,AIRBORNE,EDGE,1.0,0.0,0.0,0.0,1.0
250,AIRBORNE,REDBACK,0.0,0.0,1.0,0.0,1.0
251,AIRBORNE,XT912,0.0,1.0,0.0,0.0,1.0
252,AIRBORNE EXTREME LLC,SQ-12,0.0,0.0,0.0,3.0,3.0
253,AIRBORNE WINDSPORTS LTD,CLASSIC,0.0,1.0,1.0,0.0,2.0
254,AIRBUS,319-132,0.0,0.0,1.0,119.0,120.0
255,AIRBUS,320,0.0,0.0,1.0,281.0,282.0
256,AIRBUS,321,0.0,0.0,0.0,192.0,192.0
257,AIRBUS,330,0.0,10.0,1.0,6.0,17.0
259,AIRBUS,A-320-200,0.0,0.0,0.0,216.0,216.0
260,AIRBUS,A220,0.0,0.0,0.0,352.0,352.0
261,AIRBUS,A300,0.0,0.0,0.0,4.0,4.0
263,AIRBUS,A300-F4622R,2.0,0.0,0.0,0.0,2.0
264,AIRBUS,A300B4-203,5.0,0.0,0.0,0.0,5.0
265,AIRBUS,A310,152.0,0.0,1.0,0.0,153.0
267,AIRBUS,A319,0.0,6.0,6.0,697.0,709.0
268,AIRBUS,A319-111,0.0,0.0,0.0,130.0,130.0
269,AIRBUS,A319-112,0.0,0.0,1.0,272.0,273.0
271,AIRBUS,A319-132,0.0,35.0,0.0,95.0,130.0
272,AIRBUS,A319112,0.0,0.0,0.0,136.0,136.0
273,AIRBUS,A319114,0.0,0.0,1.0,120.0,121.0
274,AIRBUS,A319115,0.0,7.0,2.0,458.0,467.0
275,AIRBUS,A319132,0.0,2.0,1.0,289.0,292.0
276,AIRBUS,A320,283.0,10.0,13.0,3088.0,3394.0
277,AIRBUS,A320-211,0.0,28.0,0.0,110.0,138.0
278,AIRBUS,A320-214,0.0,0.0,0.0,516.0,516.0
279,AIRBUS,A320-216,162.0,0.0,0.0,0.0,162.0
280,AIRBUS,A320-231,0.0,0.0,0.0,182.0,182.0
281,AIRBUS,A320-232,0.0,10.0,3.0,782.0,795.0
283,AIRBUS,A320-271N,0.0,4.0,0.0,108.0,112.0
284,AIRBUS,A320214,0.0,0.0,0.0,156.0,156.0
285,AIRBUS,A320232,0.0,27.0,1.0,425.0,453.0
286,AIRBUS,A320233,0.0,0.0,0.0,134.0,134.0
287,AIRBUS,A321,381.0,0.0,2.0,1349.0,1732.0
288,AIRBUS,A321-211,0.0,0.0,1.0,193.0,194.0
289,AIRBUS,A321-231,0.0,8.0,2.0,365.0,375.0
290,AIRBUS,A321-271N,0.0,0.0,0.0,331.0,331.0
291,AIRBUS,A321231,0.0,1.0,3.0,848.0,852.0
292,AIRBUS,A330,331.0,19.0,24.0,2991.0,3365.0
294,AIRBUS,A330-203,0.0,14.0,1.0,169.0,184.0
295,AIRBUS,A330-223,0.0,0.0,0.0,198.0,198.0
296,AIRBUS,A330-243,0.0,0.0,0.0,292.0,292.0
297,AIRBUS,A330-301,0.0,0.0,0.0,365.0,365.0
299,AIRBUS,A330-323,0.0,0.0,1.0,615.0,616.0
300,AIRBUS,A330223,0.0,0.0,0.0,120.0,120.0
301,AIRBUS,A330323,0.0,2.0,2.0,847.0,851.0
302,AIRBUS,A340,0.0,0.0,0.0,243.0,243.0
303,AIRBUS,A340-300,0.0,0.0,0.0,397.0,397.0
304,AIRBUS,A380,0.0,0.0,1.0,1097.0,1098.0
307,AIRBUS,F4-622R,0.0,0.0,0.0,2.0,2.0
308,AIRBUS INDUSTRIE,300B4-200,0.0,0.0,0.0,279.0,279.0
309,AIRBUS INDUSTRIE,319,0.0,11.0,0.0,77.0,88.0
310,AIRBUS INDUSTRIE,A-300B4-203,0.0,1.0,4.0,222.0,227.0
311,AIRBUS INDUSTRIE,A-319-114,0.0,1.0,7.0,137.0,145.0
312,AIRBUS INDUSTRIE,A300,0.0,0.0,0.0,1.0,1.0
313,AIRBUS INDUSTRIE,A300-600,0.0,0.0,0.0,2.0,2.0
315,AIRBUS INDUSTRIE,A310,169.0,0.0,10.0,3.0,182.0
316,AIRBUS INDUSTRIE,A310-324,30.0,0.0,0.0,184.0,214.0
317,AIRBUS INDUSTRIE,A319-100,0.0,2.0,1.0,114.0,117.0
318,AIRBUS INDUSTRIE,A319-112,0.0,0.0,0.0,179.0,179.0
319,AIRBUS INDUSTRIE,A319-114,0.0,0.0,0.0,172.0,172.0
320,AIRBUS INDUSTRIE,A319-131,0.0,3.0,0.0,50.0,53.0
321,AIRBUS INDUSTRIE,A319-132,0.0,1.0,2.0,235.0,238.0
322,AIRBUS INDUSTRIE,A319112,0.0,1.0,1.0,3.0,5.0
323,AIRBUS INDUSTRIE,A319132,0.0,0.0,1.0,104.0,105.0
324,AIRBUS INDUSTRIE,A320,0.0,1.0,0.0,270.0,271.0
325,AIRBUS INDUSTRIE,A320-211,150.0,0.0,0.0,278.0,428.0
326,AIRBUS INDUSTRIE,A320-212,0.0,0.0,1.0,149.0,150.0
327,AIRBUS INDUSTRIE,A320-214,0.0,0.0,0.0,190.0,190.0
328,AIRBUS INDUSTRIE,A320-232,0.0,0.0,4.0,739.0,743.0
329,AIRBUS INDUSTRIE,A320-233,3.0,5.0,0.0,126.0,134.0
330,AIRBUS INDUSTRIE,A320211,0.0,0.0,0.0,403.0,403.0
331,AIRBUS INDUSTRIE,A320212,0.0,0.0,2.0,301.0,303.0
332,AIRBUS INDUSTRIE,A320214,0.0,0.0,1.0,140.0,141.0
333,AIRBUS INDUSTRIE,A330-323,0.0,1.0,4.0,903.0,908.0
335,AIRCRAFT MFG & DESIGN LLC,CH601XLSLSA,1.0,0.0,0.0,0.0,1.0
336,AIRCRAFT MFG & DESIGN LLC,CH750STOL,0.0,0.0,0.0,2.0,2.0
337,AIRCRAFT MFG & DEV. CO.,CH2000,0.0,0.0,0.0,2.0,2.0
338,AIRCRAFT MFG & DEV. CO. (AMD),CH-2000,0.0,0.0,0.0,2.0,2.0
339,AIRCRAFT MFG & DEV. CO. (AMD),CH2000,0.0,0.0,0.0,7.0,7.0
340,AIRCRAFT MFG & DEV. CO. (AMD),CH2T,0.0,0.0,0.0,1.0,1.0
341,AIRCRAFT MFG & DEV. CO. (AMD),CH601XLI,0.0,1.0,1.0,0.0,2.0
342,AIRCRAFT MFG & DEV. CO. (AMD),CH601XLSLSA,2.0,0.0,0.0,0.0,2.0
343,AIRCRAFT MFG & DEVELOPMENT CO,CH2000,2.0,1.0,1.0,0.0,4.0
344,AIRCRAFT MFG & DEVELOPMENT CO,CH601XLS,0.0,0.0,0.0,2.0,2.0
345,AIRCRAFT MFG & DVLPMT CO,CH601XL,2.0,0.0,0.0,0.0,2.0
346,AIRCRAFT MFG & DVLPMT CO,CH601XLISLSA,1.0,0.0,0.0,0.0,1.0
347,AIRINDUS,THORPEDOT211,0.0,0.0,0.0,2.0,2.0
348,AIRMAX CONSTRUCOES AERONAUTICA,SEAMAX-M22,0.0,0.0,0.0,2.0,2.0
349,AIRPARTS NZ LTD,FU24STALLION,1.0,0.0,0.0,0.0,1.0
350,AIRPLANE FACTORY,SPORTLIGHT,0.0,0.0,0.0,1.0,1.0
351,AIRPLANE FACTORY (PTY) LTD,SLING,0.0,0.0,0.0,1.0,1.0
352,AIRPLANE FACTORY (PTY) LTD,SLINGLSA,0.0,0.0,0.0,2.0,2.0
353,AIRPLANE FACTORY (PTY) LTD THE,SLING,0.0,1.0,1.0,0.0,2.0
354,AIRTIME AIRCRAFT INC,CYGNET,0.0,0.0,0.0,2.0,2.0
355,AIRVAN,GA8,9.0,0.0,0.0,0.0,9.0
356,ALASKAN AIR ADVENTURES LLC,SQ2,0.0,0.0,0.0,2.0,2.0
357,ALBRIGHT STAN,KITFOXSUPERSPORT,0.0,0.0,0.0,1.0,1.0
358,ALEXANDER,LANCAIR320,0.0,0.0,0.0,2.0,2.0
359,ALEXANDER,RV-7,1.0,0.0,0.0,0.0,1.0
360,ALEXANDER DUANE A,RV-8,0.0,0.0,0.0,1.0,1.0
361,ALEXANDER THOMAS P,SPORTSMANGS-2,1.0,0.0,0.0,0.0,1.0
362,ALGIMANTAS JONUSAS,RV-10,0.0,0.0,2.0,0.0,2.0
